state,value,reference_year,type,phase
AC,32.08655631659056,2018,biomass,potential
AL,466.2978637747336,2018,biomass,potential
AM,44.97358295281583,2018,biomass,potential
AP,2.0217218417047182,2018,biomass,potential
BA,737.7076407914764,2018,biomass,potential
CE,28.965863774733634,2018,biomass,potential
DF,0.0,2018,biomass,potential
ES,342.2014497716895,2018,biomass,potential
GO,2145.369752283105,2018,biomass,potential
MA,371.96896118721463,2018,biomass,potential
MG,2228.8683115677322,2018,biomass,potential
MS,2259.6788919330293,2018,biomass,potential
MT,1605.1890749619483,2018,biomass,potential
PA,117.76626377473363,2018,biomass,potential
PB,186.4329604261796,2018,biomass,potential
PE,502.3633614916286,2018,biomass,potential
PI,38.69264079147641,2018,biomass,potential
PR,3149.622420471842,2018,biomass,potential
RJ,143.22950494672756,2018,biomass,potential
RN,109.07489726027397,2018,biomass,potential
RO,45.39086529680365,2018,biomass,potential
RR,140.34455631659057,2018,biomass,potential
RS,1553.2391662861492,2018,biomass,potential
SC,646.2054642313547,2018,biomass,potential
SE,148.08002663622528,2018,biomass,potential
SP,8123.448367427703,2018,biomass,potential
TO,109.48703576864536,2018,biomass,potential
