state,value,reference_year,type,phase
AC,32.08655631659056,2020,biomass,potential
AL,466.2978637747336,2020,biomass,potential
AM,44.97358295281583,2020,biomass,potential
AP,2.0217218417047182,2020,biomass,potential
BA,737.7076407914764,2020,biomass,potential
CE,28.965863774733634,2020,biomass,potential
DF,0.0,2020,biomass,potential
ES,342.2014497716895,2020,biomass,potential
GO,2145.369752283105,2020,biomass,potential
MA,371.96896118721463,2020,biomass,potential
MG,2243.8683115677322,2020,biomass,potential
MS,2259.6788919330293,2020,biomass,potential
MT,1681.8490749619482,2020,biomass,potential
PA,117.76626377473363,2020,biomass,potential
PB,186.4329604261796,2020,biomass,potential
PE,502.3633614916286,2020,biomass,potential
PI,38.69264079147641,2020,biomass,potential
PR,3149.622420471842,2020,biomass,potential
RJ,143.22950494672756,2020,biomass,potential
RN,109.07489726027397,2020,biomass,potential
RO,45.39086529680365,2020,biomass,potential
RR,140.34455631659057,2020,biomass,potential
RS,1553.2391662861492,2020,biomass,potential
SC,646.2054642313547,2020,biomass,potential
SE,148.08002663622528,2020,biomass,potential
SP,8189.152367427702,2020,biomass,potential
TO,109.48703576864536,2020,biomass,potential
